source_file,freq_hz,interval_ms,gpu,sample_idx,pcitx_bytes,pcirx_bytes,pcitx_MB,pcirx_MB,pcitx_MBps,pcirx_MBps,pcitx_status,pcirx_status,used_in_task1_baseline
idle_pcie_check_10hz.txt,10,100,GPU4,31,2300623,2148646,2.3006,2.1486,23.006,21.486,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,32,2803788,2520789,2.8038,2.5208,28.038,25.208,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,33,1069116,890930,1.0691,0.8909,10.691,8.909,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,34,1069100,890916,1.0691,0.8909,10.691,8.909,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,35,2746143,2583680,2.7461,2.5837,27.461,25.837,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,36,3637024,3427397,3.637,3.4274,36.37,34.274,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,37,2666981,2560420,2.667,2.5604,26.67,25.604,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,38,141497,31443,0.1415,0.0314,1.415,0.314,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,39,4035409,3783851,4.0354,3.7839,40.354,37.839,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,40,1111048,2028187,1.111,2.0282,11.11,20.282,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,41,1069108,880442,1.0691,0.8804,10.691,8.804,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,42,2284915,2117214,2.2849,2.1172,22.849,21.172,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,43,141504,1902463,0.1415,1.9025,1.415,19.025,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,44,2290119,31445,2.2901,0.0314,22.901,0.314,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,45,2793371,2578350,2.7934,2.5783,27.934,25.783,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,46,1063881,3495645,1.0639,3.4956,10.639,34.956,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,47,1063818,880453,1.0638,0.8805,10.638,8.805,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,48,1797635,1996790,1.7976,1.9968,17.976,19.968,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,49,744210,1409807,0.7442,1.4098,7.442,14.098,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,50,1509344,1409769,1.5093,1.4098,15.093,14.098,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,51,629080,476416,0.6291,0.4764,6.291,4.764,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,52,629080,476416,0.6291,0.4764,6.291,4.764,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,53,3409948,3266702,3.4099,3.2667,34.099,32.667,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,54,0,0,0.0,0.0,0.0,0.0,empty_zero,empty_zero,True
idle_pcie_check_10hz.txt,10,100,GPU4,55,1881443,1745182,1.8814,1.7452,18.814,17.452,valid,valid,True
idle_pcie_check_10hz.txt,10,100,GPU4,56,4659092,4643369,4.6591,4.6434,46.591,46.434,valid,valid,True
